Location,Lat ,Long,Source,Color
McMurdo Station,-77.84935,166.670883,ASC,orange
Lake Hoare Camp,-77.623071,162.900924,ASC,orange
Lake Bonney Camp,-77.714907,162.451867,ASC,orange
Lake Fryxell Camp,-77.605791,163.125067,ASC,orange
F6 Camp,-77.608309,163.255609,ASC,orange
New Harbor Camp,-77.577671,163.519474,ASC,orange
Taylor Glacier,-77.75183,161.92861,LTER,blue
Nussbaum Riegel,-77.72374,162.25795,LTER,blue
Beacon Valley,-77.874233,160.5385,LTER,blue
Wright Valley (lower),-77.4445343,162.6535339,LTER,blue
Lake Vanda,-77.526221,161.688806,LTER,blue
Lake Vida,-77.38225,161.81785,LTER,blue
Garwood Valley (Soils),-78.01838,163.88684,LTER,blue
Garwood Valley (Upper/Steam),-78.022241,163.914797,LTER,blue
Garwood Valley (algae),-78.023145,163.919708,LTER,blue
Lake Miers,-78.093601,163.858093,LTER,blue
Granite Harbor,-76.883,162.733,LTER,blue
Lake Bonney east lobe,-77.71211,162.434528,LTER,blue
Lake Bonney west lobe,-77.718515,162.283848,LTER,blue
Canada Stream,-77.6136551,163.0547333,LTER,blue
Green Creek,-77.6240997,163.0597534,LTER,blue
Lost Seal Stream,-77.5952683,163.2444,LTER,blue
Lawson Stream (west Bonney),-77.7227783,162.2680511,LTER,blue
Bohner Stream (east Bonney),-77.6972961,162.5636597,LTER,blue
Commonwealth Stream,-77.5633316,163.3808289,LTER,blue
Onyx River at Lower Wright Hut,-77.4445343,162.6535339,LTER,blue
Onyx River at Vanda,-77.5234299,161.6966248,LTER,blue
Miers Stream gauge,-78.0995162,163.9182378,LTER,blue
Adams Stream gauge,-78.1038097,163.7381165,LTER,blue
House Stream,-77.6429825,162.7413177,LTER,blue
Wales Stream,-77.583366,163.483421,LTER,blue
Adams Glacier,-78.1445166,163.4834333,LTER,blue
Miers Outlet Stream Gauge,-78.0995162,163.9182378,LTER,blue
Commonwealth Glacier,-77.5519325,162.9954613,LTER,blue
Canada Glacier,-77.60863469,162.9295269,LTER,blue
Howard Glacier,-77.696307,163.0246209,LTER,blue
Lake Joyce,-77.715403,161.634698,LTER,blue
Lake Brownworth,-77.438633,162.728803,LTER,blue
Don Juan Pond,-77.551305,161.20155,LTER,blue
Cape Royds,-77.551,166.172666,LTER,blue
Miers Valley,-78.092,163.77771,LTER,blue
Hjorth Hill,-77.533366,163.66675,LTER,blue
Arena Valley,-77.857826,160.860018,LTER,blue
Lower Beacon Valley,-77.874233,160.5385,LTER,blue
University Valley,-77.861565,160.717946,ASC,blue
The Dias,-77.55005,161.263561,LTER,blue
The Labyrinth,-77.552762,160.802092,ASC,blue
Alatna Valley,-76.890123,161.136823,LTER,blue
Wall Valley,-77.4895,160.869283,LTER,blue
Victoria Valley,-77.3386,161.68555,LTER,blue
SSLH Soil Site,-77.63423,162.88066,LTER,blue
SSLB Soil Site,-77.72459,162.31503,LTER,blue
P3 Experimental Site,-77.597016,163.3254,LTER,blue
Lake Fryxell SLIME sites,-77.609648,163.157673,ASC (lake),blue
Lake Bonney Narrows,-77.712344,162.36231,Google Earth,blue
Lake Bonney SLIME sites,-77.714608,162.431015,ASC (lake),blue
Lawson Stream,-77.7227783,162.2680511,LTER,blue
Wormherder Creek,-77.728097,162.320462,LTER,blue
Bohner Stream,-77.6972961,162.5636597,LTER,blue
Delta Stream,-77.6246185,163.1084442,LTER,blue
Crescent Stream,-77.6190643,163.1844635,LTER,blue
Relict Channel,-77.63271,163.29995,LTER,blue
Aiken Creek,-77.6025162,163.2719421,LTER,blue
Poppellwell Stream (Mummy Pond),-77.657601,162.67897,LTER,blue
Garwood Stream,-78.023145,163.919708,LTER,blue
Adams Stream,-78.1038097,163.7381165,LTER,blue
Miers Outlet Stream,-78.0995162,163.9182378,LTER,blue
Miers Stream,-78.116667,164.15,ASC,blue
Lake Miers Lake Ice,-78.0969,163.85162,LTER,blue
Lake Miers Met Station,-78.093601,163.858093,LTER,blue
Lake Vanda Met Station,-77.52567,161.69129,LTER,blue
Mt Fleming Met Station,-77.5326,160.2711,LTER,blue
Lake Vida Met Station,-77.3778,161.8006,LTER,blue
Lake Brownworth Met Station,-77.4335,162.7036,LTER,blue
Canada Glacier Met Station,-77.6127,162.9635,LTER,blue
Howard Glacier Met Station,-77.6715,163.0791,LTER,blue
Friis Hills Met Station,-77.7474,161.5162,LTER,blue
Taylor Glacier Met Station,-77.72374,162.25795,LTER,blue
Explorer's Cove Met Station,-77.5887,163.4175,LTER,blue
Commonwealth Glacier Met Station,-77.5637,163.2801,LTER,blue
Garwood Trib Helo Landing,-78.02301,163.9143,LTER,blue
Garwood BG Helo landing,-78.02739,164.15546,LTER,blue
Mount Loke,-77.486333,162.535437,ASC,blue
